code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00700,2023-01-03 00:00:00,314.82652,325.464056,326.033924,309.887664,12.012,0.00313,31541666,10134792220.0,3.378856393673573,314.82652
HK.00700,2023-01-04 00:00:00,330.023,340.47058,340.47058,329.07322,12.562,0.00391,39409216,13322863971.0,4.610808389851798,325.464056
HK.00700,2023-01-05 00:00:00,355.6,345.4,359.8,341.2,12.102,0.00426,40803927,14350263612.0,1.4478255360565937,340.47058
HK.00700,2023-01-06 00:00:00,351.2,347.0,357.0,344.4,12.158,0.00283,27092487,9537398638.0,0.46323103647945074,345.4
HK.00700,2023-01-09 00:00:00,352.6,359.6,360.0,349.2,12.591,0.00296,28323733,10162059272.0,3.631123919308364,347.0
HK.00700,2023-01-10 00:00:00,362.6,360.0,363.4,354.6,12.605,0.00208,19854116,7160873145.0,0.11123470522802481,359.6
HK.00700,2023-01-11 00:00:00,367.4,371.4,376.4,364.2,13.001,0.00373,35722217,13341772544.0,3.1666666666666607,360.0
HK.00700,2023-01-12 00:00:00,376.6,361.6,377.2,354.0,12.66,0.00424,40547528,14789004984.0,-2.6386645126548074,371.4
HK.00700,2023-01-13 00:00:00,362.2,369.0,370.0,353.8,12.922,0.00219,20970696,7669191824.0,2.046460176991144,361.6
HK.00700,2023-01-16 00:00:00,369.8,367.8,374.0,361.6,12.881,0.00209,19986153,7414939067.0,-0.32520325203251726,369.0
HK.00700,2023-01-17 00:00:00,368.2,371.4,373.2,363.6,13.006,0.00168,16103837,5963511569.0,0.9787928221859613,367.8
HK.00700,2023-01-18 00:00:00,377.6,377.6,378.6,368.6,13.222,0.00283,27122730,10250085861.0,1.6693591814755104,371.4
HK.00700,2023-01-19 00:00:00,374.6,380.4,382.6,372.2,13.319,0.00181,17351698,6617317560.0,0.7415254237288015,377.6
HK.00700,2023-01-20 00:00:00,387.6,389.4,389.8,382.6,13.633,0.00176,16863710,6573674938.0,2.3659305993690856,380.4
HK.00700,2023-01-26 00:00:00,397.6,404.4,404.4,396.0,14.154,0.00248,23729091,9555141834.0,3.8520801232665645,389.4
HK.00700,2023-01-27 00:00:00,407.8,412.6,414.2,406.6,14.44,0.00195,18625209,7685459557.0,2.027695351137499,404.4
HK.00700,2023-01-30 00:00:00,405.2,384.8,408.6,381.6,13.472,0.0056,53626689,21117886294.0,-6.737760542898694,412.6
HK.00700,2023-01-31 00:00:00,387.6,379.8,394.6,371.4,13.299,0.00583,55756238,21309340456.0,-1.2993762993762992,384.8
HK.00700,2023-02-01 00:00:00,383.2,382.6,384.6,371.2,13.396,0.00328,31418879,11975418789.0,0.7372301211163801,379.8
HK.00700,2023-02-02 00:00:00,386.6,380.6,389.6,378.8,13.326,0.00248,23755405,9212435672.0,-0.5227391531625719,382.6
HK.00700,2023-02-03 00:00:00,379.2,382.6,384.2,373.0,13.396,0.00271,25941959,9885038548.0,0.5254860746190226,380.6
HK.00700,2023-02-06 00:00:00,372.8,374.4,377.6,366.2,13.111,0.00267,25591052,9592556756.0,-2.143230527966556,382.6
HK.00700,2023-02-07 00:00:00,378.6,377.6,383.6,375.0,13.209,0.00207,19801656,7560574438.0,0.854700854700867,374.4
HK.00700,2023-02-08 00:00:00,381.4,379.8,384.4,375.4,13.285,0.00181,17269537,6601541109.0,0.5826271186440648,377.6
HK.00700,2023-02-09 00:00:00,378.8,393.2,394.6,377.6,13.751,0.00279,26660695,10411377591.0,3.528172722485513,379.8
HK.00700,2023-02-10 00:00:00,392.6,381.0,394.8,380.2,13.327,0.00257,24606130,9553892006.0,-3.102746693794504,393.2
HK.00700,2023-02-13 00:00:00,376.8,384.2,386.2,374.2,13.438,0.00213,20355691,7782878399.0,0.8398950131233566,381.0
HK.00700,2023-02-14 00:00:00,384.6,376.2,385.2,375.6,13.16,0.00188,17932457,6831837559.0,-2.082248828735034,384.2
HK.00700,2023-02-15 00:00:00,379.8,374.6,379.8,370.0,13.104,0.00173,16498472,6203887780.0,-0.42530568846357414,376.2
HK.00700,2023-02-16 00:00:00,378.4,380.2,390.4,376.6,13.299,0.00229,21914350,8467285346.0,1.4949279231179833,374.6
HK.00700,2023-02-17 00:00:00,382.8,371.4,385.0,370.6,12.993,0.00185,17721575,6704215655.0,-2.3145712782745953,380.2
HK.00700,2023-02-20 00:00:00,369.2,374.6,376.4,366.8,13.104,0.00129,12312675,4611823354.0,0.8616047388260759,371.4
HK.00700,2023-02-21 00:00:00,372.8,359.4,373.0,355.8,12.576,0.00307,29313236,10690717967.0,-4.057661505605992,374.6
HK.00700,2023-02-22 00:00:00,353.2,353.6,360.6,345.2,12.374,0.00347,33151555,11783068387.0,-1.6138007790762257,359.4
HK.00700,2023-02-23 00:00:00,348.4,353.6,361.0,346.0,12.374,0.00203,19433112,6926891168.0,0.0,353.6
HK.00700,2023-02-24 00:00:00,348.6,347.0,352.8,345.0,12.145,0.00255,24415893,8549028187.0,-1.8665158371040786,353.6
HK.00700,2023-02-27 00:00:00,342.6,347.0,352.0,340.4,12.145,0.00214,20480043,7154268934.0,0.0,347.0
HK.00700,2023-02-28 00:00:00,349.8,341.2,355.2,341.2,11.943,0.00272,26006206,9075437622.0,-1.671469740634009,347.0
HK.00700,2023-03-01 00:00:00,345.0,366.4,368.4,343.6,12.832,0.00372,35607254,12867704100.0,7.385697538100818,341.2
HK.00700,2023-03-02 00:00:00,365.8,360.4,366.6,360.0,12.623,0.00155,14796574,5402223022.0,-1.6375545851528384,366.4
HK.00700,2023-03-03 00:00:00,369.8,365.2,372.4,362.0,12.79,0.00186,17784504,6570474541.0,1.3318534961154305,360.4
HK.00700,2023-03-06 00:00:00,361.6,360.6,366.2,358.2,12.63,0.00132,12628083,4598925385.0,-1.2595837897042623,365.2
HK.00700,2023-03-07 00:00:00,360.4,354.6,366.4,352.6,12.422,0.00178,17037998,6137583971.0,-1.6638935108153077,360.6
HK.00700,2023-03-08 00:00:00,347.6,347.2,349.2,342.6,12.164,0.00222,21208344,7385431276.0,-2.0868584320361068,354.6
HK.00700,2023-03-09 00:00:00,345.6,337.8,346.8,337.8,11.837,0.00181,17274863,5954164935.0,-2.7073732718893946,347.2
HK.00700,2023-03-10 00:00:00,330.6,329.2,335.8,328.2,11.538,0.00393,37596411,12533775053.0,-2.5458851391355894,337.8
